symbol,exchange,at_institution,at_minimum_order_value,at_minimum_quantity,at_buy_order_mark_up,at_sell_order_mark_up,at_min_ticker_price,at_accumulate_fractional_moo_order,at_max_price_different_percentage,at_max_price_percentage_diff._with_pre._close_price,at_enable_redis_price_sources,at_enable_waiting_for_approval_orders,at_created_by,at_created_date,at_updated_by,at_updated_date,at_notional_order_price_bracket,at_max_notional,at_max_quantity,at_max_single_moo_pool_qty,at_max_internal_exec_qty,at_max_pool_profit_%,at_max_pool_loss_%,at_min_auto_close_qty,at_min_qty_for_additional_price_%,at_additional_price_%,at_price_bracket_enabled,at_combine_buy/sell_moo_pool_order,at_allow_less_than_one_exec_intly,at_notional_moo_pool_order,at_accumulate_moo_in_pre-open,at_allow_auto_close_whole_qty_pool,at_enabled_limit_less_than_equity_min,at_max_market_value_allowed_in_pool,at_allow_auto_close_whole_qty_in_pool_scheduler,ccp_ccp_only_security_name,ccp_ccp_only_currency,ccp_ccp_only_isin,ccp_ccp_only_country_code,ccp_ccp_only_mic_code_x,ccp_ccp_only_bbg_ticker,ccp_ccp_only_tcl1,ccp_ccp_only_tcl2,ccp_ccp_only_tcl3,ccp_ccp_only_status,ccp_ccp_only_tradability,ccp_ccp_only_last_updated,ccp_ccp_only_mic_code_y,ccp_minimum_order_value,ccp_minimum_quantity,ccp_min_ticker_price,ccp_ccp_only_maximum_price_diff_preev_cls,ccp_ccp_only_maximum_price_diff_other_prices,ccp_ccp_only_enb_wfa_ord_in_prc_validtn,ccp_ccp_only_buy_restricted,ccp_ccp_only_sell_restricted,ccp_max_notional,ccp_max_single_moo_pool_qty,ccp_accumulate_fractional_moo_order,ccp_combine_buy/sell_moo_pool_order,ccp_accumulate_moo_in_pre-open,ccp_notional_moo_pool_order,ccp_max_internal_exec_qty,ccp_allow_less_than_one_exec_intly,ccp_enabled_limit_less_than_equity_min,ccp_ccp_only_maximum_pool_profit_percent,ccp_ccp_only_maximum_pool_loss_percent,ccp_min_auto_close_qty,ccp_max_market_value_allowed_in_pool,ccp_ccp_only_allow_auto_close_limit,ccp_allow_auto_close_whole_qty_pool,ccp_allow_auto_close_whole_qty_in_pool_scheduler,ccp_ccp_only_minimum_quantity_for_additional_price_percent,ccp_additional_price_%,ccp_ccp_only_redis_price_enabled,ccp_price_bracket_enabled,mismatched_fields,action
CES1,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:20,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES VII PLC ISHRS MSCI EMU SMALL CAP ETF EUR (ACC),GBX,IE00B3VWMM18,GB,XLON,BBG0015S1VD6,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
JPTS,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:43,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,JPMORGAN ETFS (IRELAND) ICAV JPM USD ULT SHORT INC UCITS ETF USD DIS,GBP,IE00BDFC6Q91,GB,XLON,BBG00JRVJ7C1,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
AMPS,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:57,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,WISDOMTREE MULTI ASSET ISSUER PUBLIC LIMITED COMPANY WISDOMTREE BATTERY METAL,GBX,XS2425842106,GB,XLON,BBG015SYY3S8,Traded Products,ETC,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
COPA,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-08-07 08:28:05,CECIL BRANDON,2025-09-30 14:17:43,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,WISDOMTREE COMMODITY SECURITIES LIMITED WISDOMTREE COPPER,USD,GB00B15KXQ89,GB,XLON,BBG000BL3W79,Traded Products,ETC,Commodities,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
JRDU,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-07-28 01:57:34,CECIL BRANDON,2025-09-30 14:16:35,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,JPMORGAN ETFS (IRELAND) ICAV JPM US REI UCITS ETF USD DIS,GBX,IE00BJ06C044,GB,XLON,BBG00QTQ1Y52,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
ESIH,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:21,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES VI PLC ISH MSCI EPE HCS ACC,GBP,IE00BMW42181,GB,XLON,BBG00Y772ZQ4,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
EEJD,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:28,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES IV PLC ISH MSCI JPN ESG ENH CTB USD D,USD,IE00BHZPJ346,GB,XLON,BBG00NJLP3V4,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
RBOT,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-07-28 01:57:14,CECIL BRANDON,2025-09-30 14:11:49,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES IV PLC ISHS AUTO & ROBOTICS UCITS ETF USD (ACC),USD,IE00BYZK4552,GB,XLON,BBG00DQFXF63,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
FLES,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:27,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,FRANKLIN TEMPLETON ICAV FRK EURO SHORT MATURITY UCITS ETF,EUR,IE00BFWXDY69,GB,XLON,BBG00L4B1KK6,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
SUJP,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-07-28 01:57:13,CECIL BRANDON,2025-09-30 14:04:38,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES IV PLC ISHARES MSCI JAPAN SRI UCITS ETF,USD,IE00BYX8XC17,GB,XLON,BBG00G3Q16J8,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
2BAB,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:52,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,LEVERAGE SHARES PUBLIC LIMITED COMPANY LEVSHARES 2X ALIBABA ETP,GBX,IE00BK5C1C97,GB,XLON,BBG00V3MCZS8,Traded Products,ETN,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
CMFP,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:40,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY L&G LONGER DATED ALL COMMODITIES,GBX,IE00B4WPHX27,GB,XLON,BBG000QHT4B1,Traded Products,ETFs,Commodities,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
XCS5,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:29,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,XTRACKERS X MSCI INDIA SWAP $,USD,LU0514695187,GB,XLON,BBG0017DVKF6,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
XUST,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:12:09,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,XTRACKERS II X USD TREASURIES 1C,USD,LU1920015796,GB,XLON,BBG019R2Q2D8,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
SRWG,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:12:04,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,UBS (IRL) ETF PLC UBS MSCI WORLD SRI  ETF HGBP DIS,GBX,IE00BK72HN04,GB,XLON,BBG00TL9BHK1,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
ABTC,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:43,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,21SHARES AG 21SHARES BITCOIN ETP,GBP,CH0454664001,GB,XLON,BBG01N24P740,Traded Products,ETN,252,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
3GOO,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:18:00,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,LEVERAGE SHARES PUBLIC LIMITED COMPANY LEVSHARES 3X ALPHABET ETP,GBX,IE00BK5BZX59,GB,XLON,BBG00V3MCSR5,Traded Products,ETN,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
